wallet,seerscore,rank_overall,raw_seer_score,pnl_usd_approx,volume_usd,trade_count,active_days
0x226bF1220731Af372b1E7D572959414f31B4cad6,8,132,1.0654626910421958,122601.8413386629,656908.1622095495,351,31
0xd1EcFa3E7D221851663F739626Dcd15fCA565d8e,8,133,1.0636190352820643,111672.17980792998,780444.8470299997,568,37
0xaf72A6e0B12aa48B7D4380E8766d70EdD8560Ffe,8,134,1.0496452417444253,110698.8078853008,1569443.3591106918,790,19
0xbCD6358B674834EC8101c238EC0d52540f0C0790,8,135,1.0395443335840837,130531.9721800556,548623.48949986,328,12
0x1d5638f947558aAF585970117719E8541247F960,8,136,1.0269665604941227,169635.23540477268,596191.8051453993,104,4
0xC9FaCD2c95eEFE7dA407494d94C38dFcfB40d4A8,8,137,1.0200634099184198,100975.42146148563,1386424.7341448243,699,41
0x53e55Bc7cb3d67Ad177c023CE891Ad076a9d6177,8,138,1.0067370297182674,119719.72036853236,572394.3716286339,260,28
0xEb605092406f037927d64d529b3A9CB9cbc7c6de,8,139,1.0064675839460238,66057.34724693601,2703008.299989235,2903,307
0xd69Be738370bc835e854a447F2a8D96619F91Ed8,8,140,1.0051292767015323,62637.660012085,4540868.333219999,12814,44
0x88b59D79b6E1659c95A0043028E5bb7a26e6205c,8,141,0.9991423963588375,83090.63893927421,999814.5242370111,1206,100
0xCA23F2F702140B5245C517aeF5cD9888a6320e77,8,142,0.9830375302286101,175757.5738408495,400100.70999803493,85,2
0x5b99657e7009724bdF119dD44d896FDa6Cab5C5A,8,143,0.9806741465802238,69393.99553672528,3996744.2019734536,3425,93
0x62D2BCD198bB6eAB8b7eeB9D2061815dc02b9eB7,8,144,0.9788300493371791,63777.85336727311,2618385.2809276264,3475,221
0x4f798b911568Ff98E6E05C6f32bB62Dc1Ce9020d,8,145,0.9759584463794876,125545.20706171429,454216.9534441276,190,18
0xffFADf38a520cD5a0035FF52d7FcEb436A08864B,8,146,0.9758458968616496,72572.77865125093,7887328.243841064,3042,65
0x33F6E35dCBE0D5881f19d723335f87CB56F68003,8,147,0.9733848719525626,155202.3625733088,204057.53229764284,137,3
0x41622c7CAC6B863C7CD2f78631f2d0cCC785d815,8,148,0.9703458709581176,59353.36866775352,3261027.951197026,10810,63
0x6597282ce8D8B81904621E6F75c9f3882A3BCA42,8,149,0.9695822260586315,155702.8646738852,602576.0938581646,86,6
0xDcb20A5C24aA616747f19BeABfF6152C69863e05,8,150,0.9685176180059908,91753.83901885997,1986357.7789399999,975,31
0x107dA749440b3B6d0365AA1503aB33692BDfC8A3,7,151,0.9636873323479751,93919.53256765,5176417.659769999,789,32
0xFA1991cD8082174EeDce066381c6565D6fBd4f3C,7,152,0.9615943916998153,151979.02521499956,450906.82999133243,180,2
0x80C228786e4940904Fccdd54999edce5D3cbec5e,7,153,0.9603471272645261,141315.70760255677,279288.7789403074,125,8
0xf6Bf410d1D1Eb17Fc4aB8E78B206892af81E1554,7,154,0.9600092267367828,60582.67127638291,780434.1511710146,2870,404
0x1bC43da65839B3B507f423F524cc11004Bf031b1,7,155,0.949480593119935,62398.42781091763,1089172.7782259092,4222,131
0xE5a565a0564dc54159e503CA74925835F00585c3,7,156,0.9445378705445429,200427.31527786545,453486.1099965796,26,2
0x24F8474bAFCdD8CCB5689235b81911C09fdbE07a,7,157,0.934742086414398,168714.65888723,388467.92937,57,3
0x4e56f1ddaA8F5328036C449b89e731ec748CdEe1,7,158,0.9305192900860432,64469.52673927757,1361726.444554795,2937,128
0xEcAA8806A9A05049d7d5260a33dc924220e377A9,7,159,0.9144488323255628,65817.64687530532,781870.5924977361,2108,141
0x578D665b6dd21abF12A393579699E35a2686Fbb3,7,160,0.9124577940227583,60727.83586936336,2249146.0096267373,4546,90
